"eSolar","Pasadena, CA","https://www.secondmarket.com/company/esolar","http://www.esolar.com/","2009","$40M"
"Recyclebank","New York, NY","https://www.secondmarket.com/company/recyclebank","http://www.recyclebank.com","Feb 2011","$14M"
"BrightSource Energy","Oakland, CA","https://www.secondmarket.com/company/brightsource-energy","http://www.brightsourceenergy.com","Apr 2011","$168M"
"Business Insider","New York, NY","https://www.secondmarket.com/company/business-insider","http://www.businessinsider.com","Sep 2011","$7M"
"Trader Joe's","Monrovia, CA","https://www.secondmarket.com/company/trader-joes","www.traderjoes.com","",""
"Redfin","Seattle, WA","https://www.secondmarket.com/company/redfin","http://redfin.com","Oct 2011","$14M"
"Unwall.net","","https://www.secondmarket.com/company/unwallnet","http://www.unwall.net/","Feb 2011","$2M"
"Buddy Media","New York, NY","https://www.secondmarket.com/company/buddy-media","http://buddymedia.com","Aug 2011","$54M"
"Liquidnet Holdings","New York, NY","https://www.secondmarket.com/company/liquidnet-holdings","www.liquidnet.com","",""
"ZocDoc","New York, NY","https://www.secondmarket.com/company/zoc-doc","http://www.zocdoc.com","Sep 2011","$75M"
"Hunch","New York, NY","https://www.secondmarket.com/company/hunch","http://www.hunch.com","Mar 2010","$12M"
"Zendesk","San Francisco, CA","https://www.secondmarket.com/company/zendesk","http://zendesk.com/","Dec 2010","$19M"
"Color Labs","Palo Alto, CA","https://www.secondmarket.com/company/color","http://www.color.com/","Mar 2011","$41M"
"Burger King","Miami, FL","https://www.secondmarket.com/company/burger-king","http://www.bk.com","",""
"Workday","Pleasanton, CA","https://www.secondmarket.com/company/workday","http://www.workday.com","Oct 2011","$85M"
"Bonobos","New York, NY","https://www.secondmarket.com/company/bonobos","http://www.bonobos.com","Dec 2010","$18M"
"Ustream","San Francisco, CA","https://www.secondmarket.com/company/ustream","http://www.ustream.tv","Nov 2011","$6M"
"Asana","San Francisco, CA","https://www.secondmarket.com/company/asana","http://www.asana.com","Nov 2009","$9M"
"bit.ly","New York, NY","https://www.secondmarket.com/company/bitly","http://bit.ly","Oct 2010","$10M"
"Klout","San Francisco, CA","https://www.secondmarket.com/company/klout","http://klout.com","Jan 2012","$30M"
"Atari","New York, NY","https://www.secondmarket.com/company/atari","http://www.atari.com/","Sep 2005","$7.26M"
"Palo Alto Networks","Santa Clara, CA","https://www.secondmarket.com/company/palo-alto-networks","http://www.paloaltonetworks.com/","Nov 2008","$10M"
"SurveyMonkey","Portland, OR","https://www.secondmarket.com/company/surveymonkey","http://www.surveymonkey.com","Nov 2010","$100M"
"Space Exploration Technologies (SpaceX)","Hawthorne, CA","https://www.secondmarket.com/company/space-exploration-technologies","http://www.spacex.com/","Nov 2010","$50M"
"Qwiki","San Francisco, CA","https://www.secondmarket.com/company/qwiki","http://www.qwiki.com/","Mar 2011","$1M"
"SugarCRM","Cupertino, CA","https://www.secondmarket.com/company/sugarcrm","http://sugarcrm.com","Jan 2008","$20M"
"Path","San Francisco, CA","https://www.secondmarket.com/company/path","http://path.com","Feb 2011","$8.65M"
"GameFly","Los Angeles, CA","https://www.secondmarket.com/company/gamefly","http://www.gamefly.com","2004","$6.18M"
"Hipmunk","San Francisco, CA","https://www.secondmarket.com/company/hipmunk","http://www.hipmunk.com/","Jan 2011","$4.2M"
"One Kings Lane","San Francisco, CA","https://www.secondmarket.com/company/one-kings-lane","http://www.onekingslane.com","Sep 2011","$40M"
"Bump Technologies","Mountain View, CA","https://www.secondmarket.com/company/bump-technologies","http://bu.mp","Jan 2011","$16M"
"Xobni","San Francisco, CA","https://www.secondmarket.com/company/xobni","http://www.xobni.com","Apr 2010","$16M"
"Zazzle","Redwood City, CA","https://www.secondmarket.com/company/zazzle","http://zazzle.com","Oct 2007","$30M"
"Coupons.com","Mountain View, CA","https://www.secondmarket.com/company/couponscom","http://www.coupons.com","Oct 2011","$30M"
"Better Place","Palo Alto, CA","https://www.secondmarket.com/company/better-place","http://www.betterplace.com","Nov 2011","$200M"
"Gawker Media","New York, NY","https://www.secondmarket.com/company/gawker-media","gawker.com","",""
"Indeed","Stamford, CT","https://www.secondmarket.com/company/indeed","http://www.indeed.com","Aug 2005","$5M"
"WePay","Palo Alto, CA","https://www.secondmarket.com/company/wepay","https://www.wepay.com","Aug 2010","$7.5M"
"AngelList","Woodside, CA","https://www.secondmarket.com/company/angellist","http://angel.co/","",""
"Splunk","San Francisco, CA","https://www.secondmarket.com/company/splunk","http://www.splunk.com/","Sep 2007","$25M"
"Brightcove","Cambridge, MA","https://www.secondmarket.com/company/brightcove","http://www.brightcove.com","Apr 2010","$12M"
"Jawbone","San Francisco, CA","https://www.secondmarket.com/company/aliph","http://jawbone.com","Dec 2011","$40M"
"Digital Chocolate","San Mateo, CA","https://www.secondmarket.com/company/digital-chocolate","http://www.digitalchocolate.com","Feb 2011","$12M"
"Yodlee","Redwood City, CA","https://www.secondmarket.com/company/yodlee","http://www.yodlee.com/","Jun 2008","$35M"
"Oakley","Foothill Ranch, CA","https://www.secondmarket.com/company/oakley","http://www.oakley.com/","",""
"AppNexus","New York, NY","https://www.secondmarket.com/company/appnexus","http://www.appnexus.com","Oct 2010","$50M"
