"Ticker Symbol","Company Name","City","State","Salary Average","Salary Range"
"TQNT","TriQuint Semiconductor, Inc.","Hillsboro","OR","$76,441","$40,000  $126,640"
"TR","Tootsie Roll Industries Inc.","Chicago","IL","",""
"TRAK","DealerTrack Holdings, Inc.","Lake Success","NY","$86,057","$55,000  $128,143"
"TRC","Tejon Ranch Co.","Lebec","CA","",""
"TRCR","Transcend Services, Inc.","Atlanta","GA","",""
"TREE","Tree.Com, Inc.","Charlotte","NC","$54,321","$43,270  $82,700"
"TREX","Trex Co. Inc.","Winchester","VA","",""
"TRGP","Targa Resources Corp.","Houston","TX","",""
"TRGT","Targacept, Inc.","Winston-Salem","NC","$75,475","$70,950  $80,000"
"TLAB","Tellabs Inc.","Naperville","IL","$105,175","$68,645  $200,000"
"TLB","The Talbots Inc.","Hingham","MA","$95,709","$40,789  $205,837"
"TLEO","Taleo Corp.","Dublin","CA","$90,231","$59,717  $200,000"
"TLF","Tandy Leather Factory, Inc.","Fort Worth","TX","",""
"TLLP","Tesoro Logistics LP","San Antonio","TX","",""
"TLM","Talisman Energy Inc.","Calgary","AB","",""
"TLP","Transmontaigne Partners L.P.","Denver","CO","",""
"TMH","Team Health Holdings, Inc.","Knoxville","TN","",""
"TMM","Grupo TMM S.A.B.","","NY","",""
"TMNG","Management Network Group Inc.","Overland Park","KS","$76,400","$56,000  $130,000"
"TMO","Thermo Fisher Scientific, Inc.","Waltham","MA","$96,333","$44,000  $265,000"
"TMS","TMS International Corp.","Glassport","PA","",""
"TNAV","TeleNav, Inc.","Sunnyvale","CA","$81,662","$20,000  $140,400"
"TNB","Thomas & Betts Corp.","","","$52,550","$10,333  $567,773"
"TNC","Tennant Company","Minneapolis","MN","",""
"TNDM","Neutral Tandem, Inc.","Chicago","IL","$67,333","$50,000  $87,000"
"TNE","Tele Norte Leste Participacoes S.A.","","","",""
"TNGN","Tengion, Inc.","East Norriton","PA","",""
"TNGO","Tangoe, Inc.","Orange","CT","$74,947","$43,000  $117,500"
"TNH","Terra Nitrogen Company, L.P.","Deerfield","IL","",""
"THOR","Thoratec Corp.","Pleasanton","CA","$99,533","$62,200  $110,000"
"THQI","THQ Inc.","Agoura Hills","CA","$77,626","$30,000  $200,000"
"THR","Thermon Group Holdings, Inc.","San Marcos","TX","",""
"THRX","Theravance Inc.","South San Francisco","CA","$110,327","$43,683  $375,218"
"THS","Treehouse Foods, Inc.","Oak Brook","IL","",""
"TI","Telecom Italia SpA","Milano","Lombardia","",""
"TIBX","TIBCO Software Inc.","Palo Alto","CA","$101,788","$46,988  $1,180,000"
"TICC","TICC Capital Corp.","Greenwich","CT","",""
"TIE","Titanium Metals Corporation","Dallas","TX","",""
"TIGR","TigerLogic Corporation","Irvine","CA","$111,000","$48,000  $175,000"
"TIII","Tii Network Technologies, Inc.","","NY","",""
"TISA","Top Image Systems Ltd.","","","",""
"TISI","Team Inc.","Alvin","TX","$95,272","$14,000  $286,000"
"TITN","Titan Machinery, Inc.","West Fargo","ND","$34,102","$30,763  $37,440"
"TIVO","TiVo Inc.","","CA","$107,590","$65,000  $160,000"
"TJX","The TJX Companies, Inc.","Framingham","MA","",""
"TK","Teekay Corporation","Vancouver","BC","",""
"TKC","Turkcell Iletisim Hizmetleri AS","","","",""
"TKLC","Tekelec","Morrisville","NC","$75,869","$52,000  $100,000"
"TKR","Timken Co.","Canton","OH","$71,848","$45,000  $95,196"
"TER","Teradyne Inc.","North Reading","MA","$78,273","$40,000  $707,000"
"TESO","Tesco Corporation","Houston","TX","$112,914","$40,414  $260,000"
"TEVA","Teva Pharmaceutical Industries Limited","","","",""
"TEX","Terex Corp.","Westport","CT","$83,954","$41,496  $198,224"
"TFCO","Tufco Technologies Inc.","Green Bay","WI","",""
"TFM","The Fresh Market, Inc.","Greensboro","NC","",""
"TFX","Teleflex Incorporated","","PA","$70,577","$56,805  $98,500"
"TG","Tredegar Corp.","Richmond","VA","$58,807","$40,000  $104,751"
"TGA","TransGlobe Energy Corp.","Calgary","AB","",""
"TGAL","Tegal Corp.","Petaluma","CA","$81,725","$70,000  $110,000"
"TGE","TGC Industries Inc.","Plano","TX","",""
"TGI","Triumph Group, Inc.","","PA","",""
"TGT","Target Corp.","Minneapolis","MN","$76,248","$33,000  $140,400"
"TGX","Theragenics Corp.","Buford","GA","",""
"THC","Tenet Healthcare Corp.","Dallas","TX","",""
"THER","Theratechnologies Inc.","Saint-Laurent","QC","",""
"THI","Tim Hortons Inc.","Oakville","ON","",""
"THLD","Threshold Pharmaceuticals Inc.","Redwood City","CA","$74,071","$43,975  $114,000"
"THM","International Tower Hill Mines Ltd.","Vancouver","BC","",""
"THO","Thor Industries Inc.","Jackson Center","OH","",""
"TCK","Teck Resources Limited","Vancouver","BC","",""
"TCO","Taubman Centers Inc.","Bloomfield Hills","MI","",""
"TCP","TC Pipelines LP","Houston","TX","",""
"TDC","Teradata Corporation","Miamisburg","OH","$90,900","$37,586  $162,520"
"TDG","TransDigm Group Incorporated","Cleveland","OH","",""
"TDS","Telephone & Data Systems Inc.","Chicago","IL","$67,518","$62,373  $72,484"
"TDW","Tidewater Inc.","New Orleans","LA","",""
"TDY","Teledyne Technologies Inc.","Thousand Oaks","CA","",""
"TE","TECO Energy, Inc.","Tampa","FL","",""
"TEA","Teavana Holdings, Inc.","Atlanta","GA","",""
"TEAR","TearLab Corporation","San Diego","CA","",""
"TECD","Tech Data Corp.","Clearwater","FL","$65,215","$28,000  $114,500"
"TECH","Techne Corp.","Minneapolis","MN","",""
"TECUA","Tecumseh Products Company","Ann Arbor Charter Township","MI","",""
"TECUB","Tecumseh Products Company","Ann Arbor Charter Township","MI","",""
"TEF","Telefonica, S.A.","Madrid","Comunidad de Madrid","",""
"TEL","TE Connectivity Ltd.","Schaffhausen","Schaffhausen","",""
"TELK","Telik Inc.","Palo Alto","CA","",""
"TEN","Tenneco Inc.","Lake Forest","IL","$79,625","$75,000  $90,000"
"TEO","Telecom Argentina S.A.","","","",""
"SYPR","Sypris Solutions Inc.","Louisville","KY","",""
"SYUT","Synutra International Inc.","Rockville","MD","",""
"SYX","Systemax Inc.","Port Washington","NY","$101,333","$92,000  $120,000"
"SYY","Sysco Corp.","Houston","TX","$65,742","$36,293  $170,000"
