"Ticker Symbol","Period","Revenue"
"PG","2009-06","79029000000"
"PG","2010-06","78938000000"
"PG","2011-06","82559000000"
"PG","TTM","85142000000"
"POT","2006-12","3766700000"
"POT","2007-12","5234200000"
"POT","2008-12","9446500000"
"POT","2009-12","3976700000"
"POT","2010-12","6538600000"
"POT","TTM","8662600000"
"QCOM","2007-09","8871000000"
"QCOM","2008-09","11142000000"
"QCOM","2009-09","10416000000"
"QCOM","2010-09","10991000000"
"QCOM","2011-09","14957000000"
"QCOM","TTM","16290000000"
"RIG","2006-12","3882000000"
"RIG","2007-12","6377000000"
"RIG","2008-12","12674000000"
"RIG","2009-12","11556000000"
"RIG","2010-12","9576000000"
"RIG","TTM","8957000000"
"RIMM","2007-02","3031210402"
"RIMM","2008-02","6032634276"
"RIMM","2009-02","11065186000"
"RIMM","2010-02","14953224000"
"RIMM","2011-02","19907000000"
"RIMM","TTM","19801000000"
"RMBS","2006-12","195324000"
"RMBS","2007-12","179940000"
"RMBS","2008-12","142494000"
"RMBS","2009-12","113007000"
"RMBS","2010-12","323390000"
"RMBS","TTM","319925000"
"S","2006-12","41028000000"
"S","2007-12","40146000000"
"S","2008-12","35635000000"
"S","2009-12","32260000000"
"S","2010-12","32563000000"
"S","TTM","33258000000"
"SHLD","2007-01","53012000000"
"SHLD","2008-01","50703000000"
"SHLD","2009-01","46770000000"
"SHLD","2010-01","44043000000"
"SHLD","2011-01","43326000000"
"SHLD","TTM","42747000000"
"SINA","2006-12","212854000"
"SINA","2007-12","246127000"
"SINA","2008-12","369587000"
"SINA","2009-12","358567000"
"SINA","2010-12","402617000"
"SINA","TTM","459414000"
"SLB","2007-12","23276542000"
"SLB","2008-12","27564767000"
"SLB","2009-12","23248000000"
"SLB","2010-12","28931000000"
"SLB","2011-12","39669000000"
"SLB","TTM","39669000000"
"SLW","2006-12","158541000"
"SLW","2007-12","175434000"
"SLW","2008-12","166719000"
"SLW","2009-12","239293000"
"SLW","2010-12","423353000"
"SLW","TTM","687707000"
"SNDK","2006-12","3257525000"
