"Indeed","Stamford, CT","https://www.secondmarket.com/company/indeed"
"WePay","Palo Alto, CA","https://www.secondmarket.com/company/wepay"
"AngelList","Woodside, CA","https://www.secondmarket.com/company/angellist"
"Splunk","San Francisco, CA","https://www.secondmarket.com/company/splunk"
"Brightcove","Cambridge, MA","https://www.secondmarket.com/company/brightcove"
"Jawbone","San Francisco, CA","https://www.secondmarket.com/company/aliph"
"Digital Chocolate","San Mateo, CA","https://www.secondmarket.com/company/digital-chocolate"
"Yodlee","Redwood City, CA","https://www.secondmarket.com/company/yodlee"
"Oakley","Foothill Ranch, CA","https://www.secondmarket.com/company/oakley"
"AppNexus","New York, NY","https://www.secondmarket.com/company/appnexus"
"Practice Fusion","","https://www.secondmarket.com/company/practice-fusion"
"Barracuda Networks","Campbell, CA","https://www.secondmarket.com/company/barracuda-networks"
"Glam Media","Brisbane, CA","https://www.secondmarket.com/company/glam-media"
"Turntable.fm","San Francisco, CA","https://www.secondmarket.com/company/turntablefm"
"Brand Affinity Technologies","Irvine, CA","https://www.secondmarket.com/company/brand-affinity-technologies"
"Yodle","New York, NY","https://www.secondmarket.com/company/yodle"
"Huawei","Shenzhen , P.R., China","https://www.secondmarket.com/company/huawei"
"Koch Industries","Wichita, KS","https://www.secondmarket.com/company/koch-industries"
"shopkick","Palo Alto, CA","https://www.secondmarket.com/company/shopkick"
"Bass Pro Shops","Springfield, MO","https://www.secondmarket.com/company/bass-pro-shops"
"Opower","Arlington, VA","https://www.secondmarket.com/company/opower"
"BOKU","San Francisco, CA","https://www.secondmarket.com/company/boku"
"ideeli","New York, NY","https://www.secondmarket.com/company/ideeli"
"Linden Lab","Cambridge, MA","https://www.secondmarket.com/company/linden-lab"
"Simple","Portland, OR","https://www.secondmarket.com/company/banksimple"
"TripIt","San Francisco, CA","https://www.secondmarket.com/company/tripit"
"GrubHub","Chicago, IL","https://www.secondmarket.com/company/grubhub"
"Meebo","Mountain View, CA","https://www.secondmarket.com/company/meebo"
"Art.sy","New York, NY","https://www.secondmarket.com/company/artsy"
"Livestream","New York, NY","https://www.secondmarket.com/company/livestream"
"Serious Energy","Sunnyvale, CA","https://www.secondmarket.com/company/serious-materials"
"AVG Technologies","Chelmsford, MA","https://www.secondmarket.com/company/avg-technologies"
"Big Fish Games","Seattle, WA","https://www.secondmarket.com/company/big-fish-games"
